Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Services\RecursosHumanos\CostoSalarialHorasExtrasService.cs,200,20,M:System.TimeSpan.FromMinutes(System.Double),,,,,var cacheOptions = new DistributedCacheEntryOptions()                          .SetAbsoluteExpiration(TimeSpan.FromMinutes(CACHE_DURATION_MINUTES));
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Services\RecursosHumanos\AcuerdoCompHeDocxService.cs,51,16,"M:System.IO.Compression.ZipArchive.CreateEntry(System.String,System.IO.Compression.CompressionLevel)",,,,,"var newEntry = outputZip.CreateEntry(entry.FullName, CompressionLevel.Optimal);"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Services\RecursosHumanos\ComparativoCostoLaboralService.cs,197,20,M:System.TimeSpan.FromMinutes(System.Double),,,,,var opts  = new DistributedCacheEntryOptions()                          .SetAbsoluteExpiration(TimeSpan.FromMinutes(CACHE_DURATION_MINUTES));
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Account\AccountController.cs,139,20,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"var adminUsers  = _configuration.GetSection(""AdminUsers"").Get<string[]>() ?? [];"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\SaludOcupacional\InspeccionComController.cs,733,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"if (await Task.WhenAny(imgTask, Task.Delay(TimeSpan.FromSeconds(20))) == imgTask)                  nombreArch = await imgTask;   // nombre real en disco              else              {                  _logger.LogWarning(""[SO] SubirImgHallazgo TIMEOUT 20s — hallazgo {Id}"", idHallazgo);                  nombreArch = $""{nombreBase}.jpg"";  // fallback              }"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\SaludOcupacional\InspeccionComController.cs,413,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"if (await Task.WhenAny(imgTask, Task.Delay(TimeSpan.FromSeconds(20))) == imgTask)                  nombreArch = await imgTask;   // nombre real en disco (con extensión .jpg)              else              {                  _logger.LogWarning(""[SO] SubirEvidencia TIMEOUT 20s — detalle {Id}"", idDetalle);                  nombreArch = $""{nombreBase}.jpg"";  // fallback: ruta puede no existir              }"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\SaludOcupacional\InspeccionComController.cs,33,8,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"_rutaSO = configuration.GetValue<string>(""RutaSaludOcupacional"")              ?? throw new InvalidOperationException(                  ""La clave 'RutaSaludOcupacional' no está definida en appsettings.json."");"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\SaludOcupacional\InspeccionComController.cs,33,8,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"_rutaSO = configuration.GetValue<string>(""RutaSaludOcupacional"")              ?? throw new InvalidOperationException(                  ""La clave 'RutaSaludOcupacional' no está definida en appsettings.json."");"
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Sgc\AnalisisReclamoController.cs,339,8,T:System.Uri,,,,,var nombreEnc    = Uri.EscapeDataString(archivo.NombreOrig);
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Contabilidad\SireController.cs,2810,12,T:System.Net.Http.HttpContent,,,,,await using var xlsxStream = await xlsxResponse.Content.ReadAsStreamAsync(cancellationToken);
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Contabilidad\SireController.cs,2810,12,M:System.Net.Http.HttpContent.ReadAsStreamAsync(System.Threading.CancellationToken),,,,,await using var xlsxStream = await xlsxResponse.Content.ReadAsStreamAsync(cancellationToken);
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Contabilidad\SireController.cs,2806,12,T:System.Net.Http.HttpContent,,,,,"var contentType = xlsxResponse.Content.Headers.ContentType?.MediaType ?? """";"
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Contabilidad\SireController.cs,2796,12,T:System.Uri,,,,,"var xlsxUrl = href.StartsWith(""http"", StringComparison.OrdinalIgnoreCase)                  ? href                  : new Uri(new Uri(sscoPageUrl), href).ToString();"
